Reference,Uncompetitive supplier behavior,Standard leadtime - days PO-shipment POL,Retail Packaging,Payment term - days and discounts,New product introduction,Long term commitment rebate
Ambark,,60,Not quoted,"90 days BOL, 15-2%,30-1.5%",No new products filled out,No quote
Anhui Jingke,,73,Not quoted,90 days BOL,No new products filled out,No quote
Atlas Metal Industries,,90,Not quoted,"90 days BOL,15-2.5%,30-2%,45-1.5%,60-1%,75-0.5%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 0.5%, 4: 1%, 5: 1.5%"
Bharat Precision,,35,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-2.1%,30-1.75%,45-1.4%,60-1.05%,75-0.7%",Between 10-20 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 2%, 5: 3%"
Binzhou Zeli,,30,Not quoted,90 days BOL,No new products filled out,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 2%, 4: 2%, 5: 2%"
Brass Pro Industrial,,74,Not quoted,90 days BOL,No new products filled out,No quote
Bugatti Group,,28,Not quoted,90 days BOL,Between 10-20 new products listed with indicative pricing,No quote
CIXI Xinmai,,60,Yes at 1% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-0.50%,15-0.50%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 0.5%, 4: 0.5%, 5: 0.5%"
CJ Brass TAIZHOU CHANGJIA,,60,Not quoted,"90 days BOL, 15-0.50%,15-0.50%,30-0.25%",No new products filled out,No quote
Cangzhou Heli,,75,Not quoted,"90 days BOL, 15-0.40%,15-0.40%,30-0.30%,45-0.20%,60-0.10%",Between 1-10 new products listed with indicative pricing,No quote
Cangzhou QC,,62,Yes at 1% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 60-0.50%,15-1.50%,30-1.00%,45-0.50%,60-0.50%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 0.3%, 4: 0.5%, 5: 0.8%"
Coda,,71,Not quoted,90 days BOL,No new products filled out,No quote
Dalian Newshow,,71,Not quoted,90 days BOL,No new products filled out,No quote
Eaglelite,,99,Not quoted,90 days BOL,No new products filled out,No quote
Falcon Components,,90,Not quoted,"90 days BOL, 15-2.5%,30-2%,45-1.5%,60-1%,75-0.5%",No new products filled out,No quote
Giraffe Stainless,,30,Yes at 3% upcharge EXW price - see bid data for retail packaging detail,90 days BOL,No new products filled out,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 2%, 5: 3%"
Guangzhou Hopetrol,,45,Not quoted,"90 days BOL, 15-10.00%,15-10.00%,30-8.00%,45-6.00%,60-4.00%,75-2.00%",No new products filled out,No quote
Guardianmade,,60,Not quoted,90 days BOL,No new products filled out,No quote
HY-TECH Engineers,,97,Not quoted,"90 days BOL, 15-1.00%,15-1.00%",Between 1-10 new products listed BUT NO indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 1.5%, 5: 2%"
Hebei Valvesfield,,60,Not quoted,"90 days BOL, 15-1.00%,15-1.00%,30-0.80%,45-0.50%,60-0.30%,75-0.20%",Between 1-10 new products listed BUT NO indicative pricing,No quote
Huayu Industry,,25,Not quoted,"90 days BOL, 15-2.00%,15-2.00%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 1.5%, 5: 2%"
Intech Industries,,70,Not quoted,"90 days BOL, 15-3.00%,15-3.00%,30-2.00%,45-1.00%",Between 1-10 new products listed BUT NO indicative pricing,Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 5: 1.5%
Jiaheng Metal Product,,81,Not quoted,90 days BOL,No new products filled out,No quote
KG Machinery,,65,Not quoted,90 days BOL,No new products filled out,No quote
Kai Nuo Industrial,,101,Not quoted,90 days BOL,No new products filled out,No quote
Kaixuan Stainless Steel,,75,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-8%,30-5%,45-3%,60-2%",Between 1-10 new products listed with indicative pricing,No quote
Manek Metalcraft,,60,Yes at 3% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-1.50%,15-1.50%,30-1.00%",No new products filled out,No quote
Mayank,,72,Yes at 4.5% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-2.50%,15-2.50%,30-2.00%,45-1.50%,60-1.00%,75-0.50%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 3%, 4: 4%, 5: 5%"
Meide Group,,60,Not quoted,"90 days BOL, 15-2.50%,15-2.50%,30-2.00%,45-1.50%,60-1.00%,75-0.50%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 3%, 4: 5%, 5: 8%"
Minh Hoa,,70,Not quoted,"90 days BOL, 15-2%,30-1%",No new products filled out,No quote
Ningbo Hijet,,122,Not quoted,90 days BOL,No new products filled out,No quote
Ningbo Huaping,,60,Yes at 3% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-1.50%,15-1.50%,30-1.00%,45-0.50%,60-0.30%",Between 1-10 new products listed with indicative pricing,No quote
Ningbo Ningji Yuli,,57,Not quoted,90 days BOL,No new products filled out,No quote
Ningbo Pace,,132,Not quoted,20 days BOL,No new products filled out,No quote
Ningbo Sinppa,,79,Not quoted,90 days BOL,No new products filled out,No quote
Ningbo Texoon,,88,Not quoted,90 days BOL,No new products filled out,No quote
Oston Industrial,,60,Yes at 12% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 30-1%,45-0.75%,60-0.50%,75-0.25%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 0.5%, 4: 0.75%, 5: 1%"
Penghui,,85,Not quoted,90 days BOL,No new products filled out,No quote
Pushti Metal,,30,Yes at 3% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-4%,30-2%,45-0.50%,60-0.25%",No new products filled out,No quote
Qingdao Landmark,,35,Not quoted,"90 days BOL, 15-1.00%,15-1.00%,30-0.50%,45-0.50%,60-0.50%,75-0.50%",No new products filled out,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 0.5%, 4: 0.5%, 5: 0.5%"
Rutland,,75,Not quoted,90 days BOL,Over 30 new products listed with indicative pricing,No quote
Sellonsky-Safehome,,131,Not quoted,90 days BOL,No new products filled out,No quote
Sichuan Y&J,,63,Not quoted,90 days BOL,Between 1-10 new products listed BUT NO indicative pricing,No quote
Swati Enterprise,,90,Yes at 4.5% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-3%,30-2.75%,45-2%,60-1.5%,75-0.5%",Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 3%, 4: 3.5%, 5: 4%"
Tianjin Outshine,"If order value is less than USD20000, extra USD200 will be charged.",55,Not quoted,90 days BOL,No new products filled out,No quote
Tianjin Yuda,,40,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,90 days BOL,Between 1-10 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 4: 1%, 5: 3%"
Union Metal Products,,72,Not quoted,90 days BOL,No new products filled out,No quote
United Brothers,,90,Not quoted,90 days BOL,Between 1-10 new products listed BUT NO indicative pricing,No quote
WEFLO,,71,Not quoted,90 days BOL,No new products filled out,No quote
Well Built Alloy,,120,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-4%,30-3%,45-2%,60-1%,75-0.5%",No new products filled out,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 2%, 5: 3%"
West Legend-MTD,,45,Not quoted,90 days BOL,No new products filled out,No quote
ZHEJIANG WANDEKAI,,55,Not quoted,90 days BOL,No new products filled out,No quote
Zhejiang Acme,,50,Yes at 2% upcharge EXW price - see bid data for retail packaging detail,"90 days BOL, 15-2%,30-1.5%,45-1.5%,60-1%,75-1%",Between 10-20 new products listed with indicative pricing,"Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 3: 1%, 4: 1.5%, 5: 1.5%"
Zhejiang Best Honest,,60,Not quoted,"90 days BOL, 15-1%,30-0.75%,45-0.50%,60-0.25%",Between 1-10 new products listed with indicative pricing,Bonus as % of first year projected spend payable first quarter after allocation (years: % bonus): 5: 2%
